Commit Hash,File Name,Method Name,Method Code,Commit Link
ab6a11564c138af0ec9987c23922e5a96080108b,GeoHashEncodingBenchmark.java,setupBenchmark,"	public void setupBenchmark() {
		hashes = new GeoHash[NUMBER_OF_HASHES];
		latitudes = new double[NUMBER_OF_HASHES];
		longitudes = new double[NUMBER_OF_HASHES];

		Random rand = new Random();
		for (int i = 0; i < NUMBER_OF_HASHES; i++) {
			latitudes[i] = rand.nextDouble() * 180 - 90;",https://www.github.com/kungfoo/geohash-java/commit/ab6a11564c138af0ec9987c23922e5a96080108b
ab6a11564c138af0ec9987c23922e5a96080108b,GeoHashEncodingBenchmark.java,benchmarkGeoHashEncoding,"	public void benchmarkGeoHashEncoding() {
		for (int i = 0; i < NUMBER_OF_HASHES; i++) {
			hashes[i] = GeoHash.withBitPrecision(latitudes[i], longitudes[i], 60);",https://www.github.com/kungfoo/geohash-java/commit/ab6a11564c138af0ec9987c23922e5a96080108b
ab6a11564c138af0ec9987c23922e5a96080108b,GeoHash.java,withCharacterPrecision,"	public static GeoHash withCharacterPrecision(double latitude,
			double longitude, int numberOfCharacters) {
		int desiredPrecision = (numberOfCharacters * 5 <= 60) ? numberOfCharacters * 5
				: 60;
		return new GeoHash(latitude, longitude, desiredPrecision);
	}",https://www.github.com/kungfoo/geohash-java/commit/ab6a11564c138af0ec9987c23922e5a96080108b
ab6a11564c138af0ec9987c23922e5a96080108b,GeoHash.java,withBitPrecision,"	public static GeoHash withBitPrecision(double latitude, double longitude,
			int numberOfBits) {
		return new GeoHash(latitude, longitude, numberOfBits);
	}",https://www.github.com/kungfoo/geohash-java/commit/ab6a11564c138af0ec9987c23922e5a96080108b
ab6a11564c138af0ec9987c23922e5a96080108b,GeoHash.java,fromGeohashString,"	public static GeoHash fromGeohashString(String geohash) {
		return null;
	}",https://www.github.com/kungfoo/geohash-java/commit/ab6a11564c138af0ec9987c23922e5a96080108b
ab6a11564c138af0ec9987c23922e5a96080108b,GeoHash.java,getNeighbour,"	public GeoHash getNeighbour(int direction, int length) {
		return null;
	}",https://www.github.com/kungfoo/geohash-java/commit/ab6a11564c138af0ec9987c23922e5a96080108b
ab6a11564c138af0ec9987c23922e5a96080108b,GeoHash.java,significantBits,"	public int significantBits() {
		return (int) significantBits;
	}",https://www.github.com/kungfoo/geohash-java/commit/ab6a11564c138af0ec9987c23922e5a96080108b
ab6a11564c138af0ec9987c23922e5a96080108b,GeoHash.java,toBase32,"	public String toBase32() {
		StringBuffer buf = new StringBuffer();

		long firstFiveBitsMask = 0xf800000000000000l;
		long bitsCopy = bits;
		int partialChunks = (int) Math.ceil(((double) significantBits / 5));

		for (int i = 0; i < partialChunks; i++) {
			int pointer = (int) ((bitsCopy & firstFiveBitsMask) >>> 59);
			buf.append(base32[pointer]);
			bitsCopy <<= 5;
		}
		return buf.toString();
	}",https://www.github.com/kungfoo/geohash-java/commit/ab6a11564c138af0ec9987c23922e5a96080108b
ab6a11564c138af0ec9987c23922e5a96080108b,GeoHash.java,within,"	public boolean within(GeoHash boundingBox) {
		return (bits & boundingBox.mask()) == boundingBox.bits;
	}",https://www.github.com/kungfoo/geohash-java/commit/ab6a11564c138af0ec9987c23922e5a96080108b
ab6a11564c138af0ec9987c23922e5a96080108b,GeoHash.java,getPoint,"	public WGS84Point getPoint() {
		return point;
	}",https://www.github.com/kungfoo/geohash-java/commit/ab6a11564c138af0ec9987c23922e5a96080108b
